mikerw,2200,2011,no,yes,Wed Jul 13 11:48:15 EDT 2016
dariseejr,806,2014,Yes,Yes,Wed Jul 13 11:58:25 EDT 2016
cnpence,4689,2014,No,Yes,Wed Jul 13 12:02:14 EDT 2016
